id_cliente;Nombre;Apellido;Direccion;Telefono;Tarjeta;Edad;Salario;Genero;id_pais
1;Vivian;Schultz;1511 Pooh Bear Lane;4608499546;1979280000000000;55;100000;F;11
2;Natisha;Flores;3663 McDowell Street;5119315633;3144520000000000;80;40000;F;11
3;Mary;Love;4954 Woodhill Avenue;6297761196;8728090000000000;47;100000;F;11
4;Lawrence;Bart;4820 James Street;9862764981;7160010000000000;44;40000;M;11
5;Johnny;Roman;485 Broadcast Drive;2841895775;8377100000000000;21;20000;M;11
6;Aubrey;Porter;4187 Bolman Court;6192740010;7730280000000000;72;100000;M;11
7;Alberto;Ramirez;203 Public Works Drive;9743191382;5914960000000000;52;60000;M;11
8;Jose;Cortes;4142 Walkers Ridge Way;7576564107;7663950000000000;67;80000;M;11
9;Robert;Pope;527 Progress Way;7291678624;7172070000000000;86;100000;M;11
10;Jacqueline;McMillan;2619 Bridge Street;2603867587;5486730000000000;44;40000;F;11
11;Dawn;Lindsey;603 School House Road;2415449050;6630990000000000;58;60000;F;11
12;Joseph;Carpenter;2719 Marigold Lane;1896033667;3715870000000000;27;20000;M;11
13;Thomas;George;3089 Burwell Heights Road;3029418206;3617460000000000;43;100000;M;11
14;Anthony;Gann;3267 Murphy Court;3748672054;3344000000000000;85;80000;M;11
15;Christian;Crouse;3229 Wiseman Street;3354132892;8718000000000000;66;100000;M;11
16;Joyce;Nichols;4033 Fieldcrest Road;6914808178;9422670000000000;61;80000;F;11
17;Arthur;South;372 Bryan Street;1436497137;4461930000000000;28;60000;M;11
18;William;Lighty;3722 Hinkle Deegan Lake Road;4002123087;2972220000000000;52;100000;M;11
19;Carlos;Wigfall;2471 Berkley Street;6334227072;6367060000000000;59;40000;M;11
20;Gretchen;Hunter;3735 Summit Park Avenue;7467996902;2656600000000000;32;80000;F;11
21;Kevin;Boyd;1236 Briercliff Road;9981729052;5711940000000000;69;40000;M;11
22;Bernard;Gallagher;168 Trails End Road;5221450049;6283100000000000;52;100000;M;11
23;Elias;Purdue;4627 Marion Drive;8606105897;6406860000000000;56;100000;M;11
24;Valerie;Duncan;2371 Poling Farm Road;1759698957;7402190000000000;88;100000;F;11
25;Whitley;Chase;2689 Henery Street;7232171147;4909580000000000;61;20000;F;11
26;Randall;Williams;3109 Green Acres Road;1757661798;8073390000000000;81;20000;M;11
27;Veronica;Ballard;18 Green Gate Lane;6716835282;6621920000000000;67;20000;F;11
28;Jessica;Layton;1098 George Street;6049066172;8860720000000000;63;100000;F;11
29;Barry;Nelson;1718 Oral Lake Road;3449703700;1614110000000000;82;80000;M;11
30;Noah;Savage;894 Pride Avenue;2016678561;2865310000000000;66;60000;M;11
31;Tiffany;Ambler;1636 Davis Lane;4837704029;1454200000000000;82;100000;F;11
32;Jamie;Beattie;2501 Lyndon Street;1184575169;9080950000000000;48;20000;F;11
33;Deana;Ladner;4920 Pinnickinnick Street;1806894893;9715550000000000;31;40000;F;11
34;Floyd;Chambers;821 Dogwood Lane;7282866423;1105130000000000;64;20000;M;11
35;Christina;Stewart;490 Comfort Court;4409192440;7246820000000000;63;80000;F;11
36;Ronald;Key;2608 Oxford Court;3021789304;9073500000000000;48;80000;M;11
37;Michael;Nichols;82 Bagwell Avenue;5803405046;1896660000000000;60;20000;M;11
38;Terry;Miller;4570 Travis Street;2906073166;9456840000000000;71;40000;M;11
39;Keith;Gonzalez;2917 Byers Lane;6284773018;4912660000000000;23;60000;M;11
40;Dustin;Resendez;1525 Fraggle Drive;7725075074;7576090000000000;46;80000;M;11
41;Richard;Bell;604 Happy Hollow Road;5021884093;6023780000000000;69;40000;M;11
42;Janie;Hetzel;1228 Charles Street;7225708050;5741440000000000;56;60000;F;11
43;Joyce;Escobar;2240 Grasselli Street;4599311991;7362960000000000;49;60000;F;11
44;Edmond;Thomas;1207 Center Street;6118785825;5789960000000000;20;60000;M;11
45;Kimberly;Harris;7 Deans Lane;3934871591;8396580000000000;28;40000;F;11
46;Bethany;Payton;396 Summit Street;5928516639;8143780000000000;75;60000;F;11
47;Warren;Gwin;4200 Fittro Street;1468092885;1439430000000000;45;80000;M;11
48;James;Howard;866 Stout Street;5164479008;5145820000000000;73;20000;M;11
49;Genoveva;Rhoades;3450 Marion Street;4483097562;2767850000000000;67;40000;F;11
50;Jeffrey;Pattison;3587 Commerce Boulevard;3309250755;7016220000000000;53;100000;M;11
51;Donnell;Marler;2620 Valley Street;8443500542;3863720000000000;35;100000;M;11
52;Elliott;Ramos;1233 Broadcast Drive;3004564116;5146910000000000;49;80000;M;11
53;Joseph;Smothers;1295 Hanifan Lane;7102610410;7402910000000000;58;80000;M;11
54;Roger;Guzman;2205 Rainbow Road;1023603196;2668280000000000;26;60000;M;11
55;Chris;Nestor;824 Flinderation Road;3574669247;8774650000000000;61;60000;F;11
56;Jessica;Brantley;2813 Woodland Avenue;4761523925;1167000000000000;79;20000;F;11
57;Willie;Morgenstern;4480 Kemper Lane;6110351941;3408210000000000;26;20000;M;11
58;Jerry;Moyer;1304 Scenicview Drive;4833048217;3229170000000000;19;20000;M;11
59;Gail;Montgomery;1420 Locust Court;4842132323;1609260000000000;82;80000;F;11
60;Megan;Newman;4038 Mulberry Street;9649127091;4611540000000000;34;100000;F;11
61;Charles;Kleinschmidt;43 Jenna Lane;8449346521;1476790000000000;60;80000;M;11
62;Helen;Cooper;3748 Devils Hill Road;2219900888;5048760000000000;55;60000;F;11
63;Leroy;Sanchez;2500 Sand Fork Road;1055097560;4810400000000000;90;40000;M;11
64;Rodger;Walker;3503 Brannon Avenue;5734550591;9145870000000000;32;80000;M;11
65;Walter;White;3655 Terra Cotta Street;4563891355;1298330000000000;57;80000;M;11
66;Thomas;Mullins;1431 Cedarstone Drive;2559052903;2450200000000000;39;40000;M;11
67;Jerry;Engelmann;4163 Willison Street;4337782111;7699510000000000;29;40000;M;11
68;Laurie;Dick;3651 Woodbridge Lane;2521982461;9546180000000000;69;100000;F;11
69;Thomas;Knight;2005 Melody Lane;5621417868;5908200000000000;20;60000;M;11
70;Eva;Nesler;1120 Park Avenue;4579724741;2270860000000000;69;60000;F;11
71;Hazel;Macias;4723 Nixon Avenue;7151078438;1909480000000000;66;100000;F;11
72;Rosemary;Loftis;3226 Byrd Lane;5076143849;1294620000000000;27;60000;F;11
73;Thomas;White;2150 Biddie Lane;5940442139;3680640000000000;52;100000;M;11
74;Diane;Benitez;3974 Duncan Avenue;9144738893;8466010000000000;45;60000;F;11
75;Barbara;Hardy;635 Hinkle Lake Road;3559184079;6260700000000000;58;80000;F;11
76;Betsy;Brown;4516 Charter Street;5843842130;6731050000000000;53;60000;F;11
77;Alexander;Antoine;2348 Woodrow Way;8203956428;4091470000000000;67;60000;M;11
78;Kenneth;Black;2919 Trouser Leg Road;5901074984;9049580000000000;38;80000;M;11
79;Charles;Riggle;3745 Upton Avenue;8947035148;5019840000000000;27;100000;M;11
80;Michael;Wright;2253 Rose Street;7038885902;9086240000000000;59;60000;M;11
81;Margarita;Frazier;1191 Friendship Lane;5684336516;3071250000000000;47;20000;F;11
