id_vendedor;nombre;id_pais
1;Brodie Macqueen;3
2;Madeleine Samson;6
3;Alexandra Godfrey;1
4;Gabrielle Mason;9
5;Marcus Brett;4
6;Koby Clarkson;4
7;Isaac Leach;8
8;Connor Wickham;1
9;Jasper Witt;9
10;Zac Kotai;5
11;Adam Emery;2
12;Lara Dietrich;7
13;Thomas Challis;1
14;Andrew To Rot;6
15;Annabelle Grishin;3
16;Brooke Ride;11
17;Isla Ramsbotham;1
18;Amelia Brooke;4
19;Tyler Bourke;9
20;Callum Buggy;1
21;George Collocott;10
22;Alannah Wesch;5
23;Eva Santo;4
24;Aaron Laver;9
25;Rebecca Labilliere;2
26;Jai Russell;8
27;Cameron Iverson;5
28;Flynn Leist;4
29;Matilda Summerfield;5
30;Jamie Walsh;3
31;Hunter Afford;9
32;Madeleine Skirving;10
33;Claire Brady;7
34;Flynn Kirby;11
35;Claire Warne-Smith;10
36;Nicholas Bancks;2
37;Zane Witt;10
38;Amber Karloan;10
39;Alice Govett;3
40;Alannah Biscoe;11
41;Lauren Daplyn;3
42;Molly Lenehan;2
43;James Spedding;7
44;Adam Earp;6
45;Kiara Icely;6
46;Hannah Mullen;5
47;Liam Buck;10
48;Hunter Refshauge;7
49;Rebecca Mofflin;10
50;Keira Houlding;6
51;Hayden Minifie;1
52;Victoria Crowley;8
53;Indiana Hampton;3
54;Caleb Gregor;9
55;Charles Hotham;2
56;Charli Cimitiere;3
57;Alexander Dumaresq;1
58;Leo Andrade;6
59;Amelia Betts;2
60;Hayden Aikenhead;10
61;Isaac John;7
62;Savannah Buttenshaw;6
63;Tahlia Arek;4
64;Jessica Bolton;8
65;Matilda Ciantar;3
66;Spencer Brooker;4
67;Liam Curley;4
68;Alyssa Stoneman;2
69;Declan Lane;8
70;Taj Cantor;1
71;Ben Merrett;9
72;Rory Bulcock;10
73;Timothy Krefft;6
74;Abbey Horner;5
75;Piper Griffen;1
76;Kate Herington;9
77;Andrew Bromley;1
78;Aiden Lindon;1
79;Eve Ashburn;3
80;Sophia Begg;5
81;Maddison Hanton;10
82;Jamie Miljanovic;11
83;Abbey McGlinn;9
84;Eva Bergin;7
85;Hayley Baylis;9
86;Angelina Blomfield;2
87;Jasper Feetham;5
88;Elizabeth Grace;11
89;Jeremy Bayley;7
90;Jett Ewart;10
91;Christopher O'Loghlen;11
92;Ethan Anthon;7
93;Victoria Lester;4
94;Samuel Snodgrass;10
95;Riley Gillen;9
96;Lilian Blanchard;4
97;Ruby Buley;2
98;Abbey Sparkes;9
99;Rachel Ord;3
100;Sophia Halligan;9
